,codigo,professor,disciplina,anoperiodo,qnt_discentes,qnt_aprovados,qnt_reprovacao,qnt_trancamentos,media_turma,media_faltas,qnt_reposicao,taxa_aprovacao,taxa_reprovacao,evasao,qnt_aprovados_primeira
607,57608691,5755939.0,55049,2017.2,1,1.0,0.0,0.0,7.5,10.0,0.0,1.0,0.0,0.0,0
608,57608711,5759131.0,24034,2017.2,3,3.0,0.0,0.0,8.933333333333334,10.0,0.0,1.0,0.0,0.0,0
609,57608820,5759144.0,25603,2017.2,1,1.0,0.0,0.0,8.2,10.0,0.0,1.0,0.0,0.0,0
610,57608999,18246.0,27718,2017.2,2,2.0,0.0,0.0,6.4,0.0,0.0,1.0,0.0,0.0,0
611,57609020,20251.0,2036576,2017.2,1,1.0,0.0,0.0,5.8,8.0,0.0,1.0,0.0,0.0,0
612,57609049,22721.0,2040170,2017.2,1,1.0,0.0,0.0,6.1,13.0,0.0,1.0,0.0,0.0,0
614,57609082,5754544.0,46256,2017.2,1,1.0,0.0,0.0,7.3,0.0,0.0,1.0,0.0,0.0,0
615,57609092,5757398.0,46256,2017.2,2,2.0,0.0,0.0,9.6,0.0,0.0,1.0,0.0,0.0,0
616,57609106,22206.0,21087,2017.2,1,1.0,0.0,0.0,5.7,8.0,0.0,1.0,0.0,0.0,0
617,57609108,5759290.0,21087,2017.2,13,13.0,0.0,0.0,6.069230769230769,10.384615384615383,3.0,1.0,0.0,0.0,0
618,57609118,21925.0,22938,2017.2,3,2.0,0.0,1.0,5.0,9.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0
619,57609139,18187.0,22450,2017.2,1,1.0,0.0,0.0,7.5,14.0,0.0,1.0,0.0,0.0,0
620,57609167,5753762.0,22961,2017.2,1,1.0,0.0,0.0,8.8,12.0,0.0,1.0,0.0,0.0,0
621,57609184,5753879.0,57704,2017.2,1,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0
622,57609186,5755549.0,59740,2017.2,3,2.0,1.0,0.0,5.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0
623,57609187,5755471.0,51566,2017.2,2,2.0,0.0,0.0,8.3,8.0,0.0,1.0,0.0,0.0,0
624,57609189,5756799.0,22916,2017.2,5,1.0,3.0,1.0,1.6200000000000003,24.4,0.0,0.2,0.6,0.2,0
625,57609190,5756799.0,22916,2017.2,23,15.0,7.0,1.0,4.778260869565217,16.217391304347824,5.0,0.6521739130434783,0.3043478260869565,0.043478260869565216,0
626,57609195,17517.0,25881,2017.2,1,1.0,0.0,0.0,9.3,0.0,0.0,1.0,0.0,0.0,0
627,57609200,5756239.0,51056,2017.2,3,3.0,0.0,0.0,7.933333333333334,0.0,0.0,1.0,0.0,0.0,0
628,57609212,5753818.0,46934,2017.2,5,5.0,0.0,0.0,8.64,0.0,0.0,1.0,0.0,0.0,0
629,57609215,5759363.0,46637,2017.2,31,23.0,6.0,2.0,5.122580645161291,14.580645161290322,2.0,0.7419354838709677,0.1935483870967742,0.06451612903225806,0
630,57609218,5752802.0,46936,2017.2,3,2.0,1.0,0.0,6.666666666666668,32.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0
631,57609221,5751991.0,48471,2017.2,5,3.0,2.0,0.0,4.86,10.6,0.0,0.6,0.4,0.0,0
632,57609226,5753713.0,48472,2017.2,2,2.0,0.0,0.0,6.65,0.0,0.0,1.0,0.0,0.0,0
633,57609228,5757904.0,21589,2017.2,1,1.0,0.0,0.0,6.3,0.0,0.0,1.0,0.0,0.0,0
634,57609232,5753350.0,48473,2017.2,8,6.0,2.0,0.0,6.0625,21.625,0.0,0.75,0.25,0.0,0
635,57609232,5755271.0,48473,2017.2,8,6.0,2.0,0.0,6.0625,21.625,0.0,0.75,0.25,0.0,0
636,57609235,5753099.0,57561,2017.2,21,13.0,7.0,1.0,4.019047619047618,15.238095238095234,0.0,0.6190476190476191,0.3333333333333333,0.047619047619047616,0
637,57609239,5752840.0,59633,2017.2,14,12.0,2.0,0.0,6.2285714285714295,6.2142857142857135,1.0,0.8571428571428571,0.14285714285714285,0.0,0
638,57609243,5755271.0,59636,2017.2,10,9.0,1.0,0.0,8.05,4.4,0.0,0.9,0.1,0.0,0
639,57609248,18649.0,25146,2017.2,1,1.0,0.0,0.0,8.8,12.0,0.0,1.0,0.0,0.0,0
640,57609249,5753879.0,59637,2017.2,8,8.0,0.0,0.0,6.9375,6.5,0.0,1.0,0.0,0.0,0
641,57609249,5756239.0,59637,2017.2,8,8.0,0.0,0.0,6.9375,6.5,0.0,1.0,0.0,0.0,0
642,57609250,5753099.0,57562,2017.2,3,2.0,1.0,0.0,4.033333333333333,12.666666666666664,0.0,0.6666666666666666,0.3333333333333333,0.0,0
643,57609261,5757096.0,60939,2017.2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
644,57609283,5755388.0,55022,2017.2,1,0.0,1.0,0.0,0.5,70.0,0.0,0.0,1.0,0.0,0
645,57609300,5758707.0,46387,2017.2,1,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0
646,57609329,17908.0,23467,2017.2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
647,57609331,17908.0,23467,2017.2,2,1.0,0.0,1.0,3.3,0.0,1.0,0.5,0.0,0.5,0
648,57609350,5753561.0,47001,2017.2,10,9.0,1.0,0.0,6.25,10.2,0.0,0.9,0.1,0.0,0
649,57609353,5753661.0,47003,2017.2,1,1.0,0.0,0.0,7.9,2.0,0.0,1.0,0.0,0.0,0
650,57609362,2261705.0,50415,2017.2,9,9.0,0.0,0.0,5.5555555555555545,8.444444444444445,1.0,1.0,0.0,0.0,0
651,57609367,5754638.0,52447,2017.2,39,39.0,0.0,0.0,6.553846153846152,5.435897435897436,1.0,1.0,0.0,0.0,0
652,57609367,5758722.0,52447,2017.2,39,39.0,0.0,0.0,6.553846153846152,5.435897435897436,1.0,1.0,0.0,0.0,0
653,57609370,5758722.0,52447,2017.2,13,13.0,0.0,0.0,6.961538461538463,0.0,0.0,1.0,0.0,0.0,0
654,57609370,5754638.0,52447,2017.2,13,13.0,0.0,0.0,6.961538461538463,0.0,0.0,1.0,0.0,0.0,0
655,57609373,5752035.0,49501,2017.2,1,1.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0
656,57609381,5753689.0,41439,2017.2,25,22.0,3.0,0.0,5.468000000000001,0.0,1.0,0.88,0.12,0.0,0
657,57609403,5753689.0,41439,2017.2,24,20.0,4.0,0.0,5.883333333333333,0.0,3.0,0.8333333333333334,0.16666666666666666,0.0,0
658,57609412,5755744.0,52448,2017.2,23,14.0,8.0,1.0,4.0782608695652165,12.347826086956523,3.0,0.6086956521739131,0.3478260869565217,0.043478260869565216,0
659,57609413,5754367.0,52448,2017.2,10,4.0,6.0,0.0,3.69,9.9,1.0,0.4,0.6,0.0,0
660,57609415,23943.0,52448,2017.2,30,30.0,0.0,0.0,6.3066666666666675,10.533333333333333,1.0,1.0,0.0,0.0,0
